SimulationV011.py[0, 250]
[1, 120]
[2, 120]
[3, 228]
[4, 120]
[5, 120]
[6, 228]
[7, 120]
[8, 120]
[9, 228]
[10, 120]
[11, 120]
[12, 228]
[13, 25]
[15, 36]
[20, 11]
[21, 10]
[22, 1]
[23, 183]
[24, 129]
[25, 156]
[26, 183]
[27, 129]
[28, 156]
[29, 183]
[30, 129]
[31, 156]
[32, 183]
[33, 129]
[34, 156]
[35, 183]
[36, 129]
[37, 156]
[38, 183]
[39, 129]
[40, 164]
[41, 3]
[42, 7]
[43, 123]
[44, 184]
[45, 165]
[46, 120]
[47, 183]
[48, 165]
[49, 120]
[50, 183]
[51, 165]
[52, 120]
[53, 183]
[54, 165]
[55, 120]
[56, 183]
[57, 165]
[58, 120]
[59, 183]
[60, 171]
[61, 2]
[62, 3]
[63, 124]
[64, 186]
[65, 168]
[66, 121]
[67, 183]
[68, 165]
[69, 120]
[70, 183]
[71, 165]
[72, 120]
[73, 183]
[74, 165]
[75, 120]
[76, 183]
[77, 165]
[78, 120]
[79, 183]
[80, 168]
[81, 3]
[82, 2]
[83, 123]
[84, 187]
[85, 168]
[86, 123]
[87, 184]
[88, 165]
[89, 120]
[90, 183]
[91, 165]
[92, 120]
[93, 183]
[94, 165]
[95, 120]
[96, 183]
[97, 165]
[98, 120]
[99, 183]
[100, 168]
[101, 123]
[102, 185]
[103, 168]
[104, 124]
[105, 186]
[106, 168]
[107, 121]
[108, 183]
[109, 165]
[110, 120]
[111, 183]
[112, 165]
[113, 120]
[114, 183]
[115, 165]
[116, 120]
[117, 183]
[118, 165]
[119, 120]
[120, 186]
[121, 168]
[122, 122]
[123, 186]
[124, 169]
[125, 123]
[126, 186]
[127, 166]
[128, 120]
[129, 183]
[130, 165]
[131, 120]
[132, 183]
[133, 165]
[134, 120]
[135, 183]
[136, 165]
[137, 45]
[138, 126]
[139, 102]
[140, 57]
[141, 150]
[142, 89]
[143, 57]
[144, 144]
[145, 157]
[146, 150]
[147, 168]
[148, 157]
[149, 147]
[150, 165]
[151, 156]
[152, 147]
[153, 165]
[154, 156]
[155, 147]
[156, 165]
[157, 156]
[158, 147]
[159, 165]
[160, 159]
[161, 150]
[162, 167]
[163, 159]
[164, 147]
[165, 168]
[166, 157]
[167, 150]
[168, 167]
[169, 157]
[170, 148]
[171, 165]
[172, 156]
[173, 147]
[174, 165]
[175, 156]
[176, 147]
[177, 165]
[178, 156]
[179, 147]
[180, 168]
[181, 159]
[182, 149]
[183, 165]
[184, 159]
[185, 147]
[186, 168]
[187, 157]
[188, 150]
[189, 165]
[190, 158]
[191, 148]
[192, 166]
[193, 156]
[194, 147]
[195, 165]
[196, 156]
[197, 147]
[198, 165]
[199, 156]
[200, 150]
[201, 167]
[202, 157]
[203, 149]
[204, 165]
[205, 159]
[206, 147]
[207, 168]
[208, 157]
[209, 150]
[210, 165]
[211, 158]
[212, 148]
[213, 166]
[214, 156]
[215, 147]
[216, 165]
[217, 156]
[218, 147]
[219, 165]
[220, 158]
[221, 148]
[222, 167]
[223, 157]
[224, 149]
[225, 165]
[226, 159]
[227, 147]
[228, 168]
